lap,driver_idx,pitstop_prob,decision
17,17,0.0913,0
17,18,0.0553,0
17,19,0.0498,0
18,0,0.0645,0
18,1,0.2503,0
18,2,0.0321,0
18,3,0.0645,0
18,4,0.1366,0
18,5,0.1366,0
18,6,0.0335,0
18,7,0.0323,0
18,8,0.0435,0
18,9,0.0678,0
18,10,0.1366,0
18,11,0.1012,0
18,12,0.1062,0
18,14,0.3264,0
18,15,0.0981,0
18,16,0.0645,0
18,17,0.1003,0
18,18,0.0645,0
18,19,0.0573,0
19,0,0.0796,0
19,1,0.1766,0
19,2,0.0322,0
19,3,0.0796,0
19,4,0.1769,0
19,5,0.1769,0
19,6,0.0321,0
19,7,0.0324,0
19,8,0.0333,0
19,9,0.0807,0
19,10,0.1769,0
19,11,0.1011,0
19,12,0.1328,0
19,14,0.4553,0
19,15,0.1181,0
19,16,0.0796,0
19,17,0.1186,0
19,18,0.0796,0
19,19,0.0682,0
20,0,0.1032,0
20,1,0.1686,0
20,2,0.0322,0
20,3,0.1032,0
20,4,0.2425,0
20,5,0.2425,0
20,6,0.0322,0
20,7,0.0326,0
20,8,0.0321,0
20,9,0.1032,0
20,10,0.2425,0
20,11,0.1181,0
20,12,0.1746,0
20,14,0.6004,1
20,15,0.1486,0
20,16,0.1032,0
20,17,0.1486,0
20,18,0.1032,0
20,19,0.0843,0
21,0,0.1412,0
21,1,0.2851,0
21,2,0.0323,0
21,3,0.1412,0
21,4,0.3450,0
21,5,0.3450,0
21,6,0.0322,0
21,7,0.0329,0
21,8,0.0322,0
21,9,0.1412,0
21,10,0.3450,0
21,11,0.1461,0
21,12,0.2455,0
21,14,0.1542,0
21,15,0.1928,0
21,16,0.1412,0
21,17,0.2640,0
21,18,0.1412,0
21,19,0.1057,0
22,0,0.2005,0
22,1,0.3143,0
22,2,0.0330,0
22,3,0.2005,0
22,4,0.4838,0
22,5,0.4838,0
22,6,0.0323,0
22,7,0.0335,0
22,8,0.0322,0
22,9,0.2005,0
22,10,0.4838,0
22,11,0.1881,0
22,12,0.3549,0
22,14,0.0437,0
22,15,0.3803,0
22,16,0.2005,0
22,17,0.4133,0
22,18,0.2005,0
22,19,0.1364,0
23,0,0.2852,0
23,1,0.3825,0
23,2,0.0328,0
23,3,0.2852,0
23,4,0.6357,1
23,5,0.6357,1
23,6,0.0325,0
23,7,0.0345,0
23,8,0.0328,0
23,9,0.2852,0
23,10,0.6357,1
23,11,0.2568,0
23,12,0.5057,1
23,14,0.0332,0
23,15,0.4321,0
23,16,0.2852,0
23,17,0.5923,1
23,18,0.2852,0
23,19,0.1812,0
24,0,0.6622,1
24,1,0.4879,0
24,2,0.0445,0
24,3,0.4065,0
24,4,0.1699,0
24,5,0.1699,0
24,6,0.0328,0
24,7,0.0369,0
24,8,0.0392,0
24,9,0.4065,0
24,10,0.1699,0
24,11,0.3607,0
24,12,0.1247,0
24,14,0.0320,0
24,15,0.5271,1
24,16,0.4065,0
24,17,0.1582,0
24,18,0.6622,1
24,19,0.2463,0
25,0,0.1985,0
25,1,0.7161,1
25,2,0.0356,0
25,3,0.7530,1
25,4,0.0451,0
25,5,0.0451,0
25,6,0.0334,0
25,7,0.0422,0
25,8,0.0418,0
25,9,0.7530,1
25,10,0.0451,0
25,11,0.4968,0
25,12,0.0414,0
25,14,0.0320,0
25,15,0.1257,0
25,16,0.5578,1
25,17,0.0443,0
25,18,0.1985,0
25,19,0.3392,0
26,0,0.0513,0
26,1,0.2146,0
26,2,0.0365,0
26,3,0.2439,0
26,4,0.0333,0
26,5,0.0333,0
26,6,0.0346,0
26,7,0.0535,0
26,8,0.0347,0
26,9,0.2439,0
26,10,0.0333,0
26,11,0.6461,1
26,12,0.0331,0
26,14,0.0320,0
26,15,0.0401,0
26,16,0.1408,0
26,17,0.0333,0
26,18,0.0513,0
26,19,0.4683,0
27,0,0.0342,0
27,1,0.0512,0
27,2,0.0401,0
27,3,0.0566,0
27,4,0.0320,0
27,5,0.0320,0
27,6,0.0371,0
27,7,0.0732,0
27,8,0.0354,0
27,9,0.0566,0
27,10,0.0320,0
27,11,0.1737,0
27,12,0.0320,0
27,14,0.0320,0
27,15,0.0330,0
27,16,0.0427,0
27,17,0.0320,0
27,18,0.0342,0
27,19,0.7040,1
28,0,0.0320,0
28,1,0.0339,0
28,2,0.0469,0
28,3,0.0345,0
28,4,0.0320,0
28,5,0.0320,0
28,6,0.0543,0
28,7,0.1083,0
28,8,0.0482,0
28,9,0.0345,0
28,10,0.0320,0
28,11,0.0454,0
28,12,0.0320,0
28,14,0.0320,0
28,15,0.0320,0
28,16,0.0331,0
28,17,0.0320,0
28,18,0.0320,0
28,19,0.2077,0
29,0,0.0320,0
29,1,0.0320,0
29,2,0.0819,0
29,3,0.0320,0
29,4,0.0320,0
29,5,0.0320,0
29,6,0.0709,0
29,7,0.1766,0
29,8,0.0605,0
29,9,0.0320,0
29,10,0.0320,0
29,11,0.0333,0
29,12,0.0320,0
29,14,0.0320,0
29,15,0.0320,0
29,16,0.0320,0
29,17,0.0320,0
29,18,0.0320,0
29,19,0.0501,0
30,0,0.0320,0
30,1,0.0320,0
30,2,0.1264,0
30,3,0.0320,0
30,4,0.0320,0
30,5,0.0320,0
30,6,0.0692,0
30,7,0.2999,0
30,8,0.0566,0
30,9,0.0320,0
30,10,0.0320,0
30,11,0.0320,0
30,12,0.0320,0
30,14,0.0320,0
30,15,0.0320,0
30,16,0.0320,0
30,17,0.0320,0
30,18,0.0320,0
30,19,0.0338,0
31,0,0.0320,0
31,1,0.0320,0
31,2,0.1417,0
31,3,0.0320,0
31,4,0.0320,0
31,5,0.0320,0
31,6,0.1343,0
31,7,0.3679,0
31,8,0.0728,0
31,9,0.0320,0
31,10,0.0320,0
31,11,0.0320,0
31,12,0.0320,0
31,14,0.0320,0
31,15,0.0320,0
31,16,0.0320,0
31,17,0.0320,0
31,18,0.0320,0
31,19,0.0320,0
32,0,0.0320,0
32,1,0.0320,0
32,2,0.2212,0
32,3,0.0320,0
32,4,0.0320,0
32,5,0.0320,0
32,6,0.2214,0
32,7,0.5173,1
32,8,0.1064,0
32,9,0.0320,0
32,10,0.0320,0
32,11,0.0320,0
32,12,0.0320,0
32,14,0.0320,0
32,15,0.0320,0
32,16,0.0320,0
32,17,0.0320,0
32,18,0.0320,0
32,19,0.0320,0
33,0,0.0320,0
33,1,0.0320,0
33,2,0.4419,0
33,3,0.0320,0
33,4,0.0320,0
33,5,0.0320,0
33,6,0.3658,0
33,7,0.1257,0
33,8,0.1748,0
33,9,0.0320,0
33,10,0.0320,0
33,11,0.0320,0
33,12,0.0320,0
33,14,0.0321,0
33,15,0.0320,0
33,16,0.0320,0
33,17,0.0320,0
33,18,0.0320,0
33,19,0.0320,0
34,0,0.0320,0
34,1,0.0320,0
34,2,0.6726,1
34,3,0.0320,0
34,4,0.0320,0
34,5,0.0320,0
34,6,0.5683,1
34,7,0.0410,0
34,8,0.3109,0
34,9,0.0320,0
34,10,0.0320,0
34,11,0.0320,0
34,12,0.0320,0
34,14,0.0320,0
34,15,0.0320,0
34,16,0.0320,0
34,17,0.0320,0
34,18,0.0320,0
34,19,0.0320,0
35,0,0.0320,0
35,1,0.0320,0
35,2,0.2008,0
35,3,0.0320,0
35,4,0.0320,0
35,5,0.0320,0
35,6,0.1497,0
35,7,0.0331,0
35,8,0.5235,1
35,9,0.0320,0
35,10,0.0320,0
35,11,0.0320,0
35,12,0.0320,0
35,14,0.0320,0
35,15,0.0320,0
35,16,0.0321,0
35,17,0.0321,0
35,18,0.0320,0
35,19,0.0320,0
36,0,0.0320,0
36,1,0.0321,0
36,2,0.0500,0
36,3,0.0320,0
36,4,0.0320,0
36,5,0.0320,0
36,6,0.0440,0
36,7,0.0320,0
36,8,0.1363,0
36,9,0.0320,0
36,10,0.0320,0
36,11,0.0320,0
36,12,0.0320,0
36,14,0.0320,0
36,15,0.0320,0
36,16,0.0320,0
36,17,0.0320,0
36,18,0.0320,0
36,19,0.0320,0
37,0,0.0320,0
37,1,0.0320,0
37,2,0.0336,0
37,3,0.0320,0
37,4,0.0320,0
37,5,0.0320,0
37,6,0.0333,0
37,7,0.0320,0
37,8,0.0432,0
37,9,0.0320,0
37,10,0.0320,0
37,11,0.0320,0
37,12,0.0320,0
37,14,0.0320,0
37,15,0.0320,0
37,16,0.0320,0
37,17,0.0320,0
37,18,0.0320,0
37,19,0.0320,0
38,0,0.0320,0
38,1,0.0320,0
38,2,0.0320,0
38,3,0.0320,0
38,4,0.0320,0
38,5,0.0321,0
38,6,0.0320,0
38,7,0.0320,0
38,8,0.0332,0
38,9,0.0320,0
38,10,0.0320,0
38,11,0.0320,0
38,12,0.0321,0
38,14,0.0320,0
38,15,0.0320,0
38,16,0.0320,0
38,17,0.0320,0
38,18,0.0320,0
38,19,0.0320,0
39,0,0.0320,0
39,1,0.0320,0
39,2,0.0320,0
39,3,0.0320,0
39,4,0.0320,0
39,5,0.0321,0
39,6,0.0320,0
39,7,0.0320,0
39,8,0.0320,0
39,9,0.0320,0
39,10,0.0321,0
39,11,0.0320,0
39,12,0.0321,0
39,14,0.0320,0
39,15,0.0320,0
39,16,0.0320,0
39,17,0.0320,0
39,18,0.0320,0
39,19,0.0320,0
40,0,0.0320,0
40,1,0.0320,0
40,2,0.0320,0
40,3,0.0320,0
40,4,0.0321,0
40,5,0.0321,0
40,6,0.0320,0
40,7,0.0320,0
40,8,0.0320,0
40,9,0.0320,0
40,10,0.0321,0
40,11,0.0320,0
40,12,0.0321,0
40,14,0.0321,0
40,15,0.0321,0
40,16,0.0320,0
40,17,0.0320,0
40,18,0.0320,0
40,19,0.0320,0
41,0,0.0321,0
41,1,0.0320,0
41,2,0.0320,0
41,3,0.0320,0
41,4,0.0321,0
41,5,0.0321,0
41,6,0.0320,0
41,7,0.0320,0
41,8,0.0320,0
41,9,0.0320,0
41,10,0.0321,0
41,11,0.0320,0
41,12,0.0321,0
41,14,0.0321,0
41,15,0.0321,0
41,16,0.0320,0
41,17,0.0320,0
41,18,0.0320,0
41,19,0.0320,0
42,0,0.0320,0
42,1,0.0320,0
42,2,0.0320,0
42,3,0.0320,0
42,4,0.0321,0
42,5,0.0321,0
42,6,0.0320,0
42,7,0.0320,0
42,8,0.0320,0
42,9,0.0321,0
42,10,0.0321,0
42,11,0.0320,0
42,12,0.0321,0
42,14,0.0321,0
42,15,0.0321,0
42,16,0.0320,0
42,17,0.0321,0
42,18,0.0320,0
42,19,0.0320,0
43,0,0.0320,0
43,1,0.0320,0
43,2,0.0320,0
43,3,0.0320,0
43,4,0.0321,0
43,5,0.0321,0
43,6,0.0320,0
43,7,0.0321,0
43,8,0.0320,0
43,9,0.0321,0
43,10,0.0321,0
43,11,0.0321,0
43,12,0.0321,0
43,14,0.0321,0
43,15,0.0321,0
43,16,0.0320,0
43,17,0.0321,0
43,18,0.0320,0
43,19,0.0321,0
44,0,0.0320,0
44,1,0.0321,0
44,2,0.0320,0
44,3,0.0320,0
44,4,0.0321,0
44,5,0.0321,0
44,6,0.0320,0
44,7,0.0321,0
44,8,0.0320,0
44,9,0.0321,0
44,10,0.0321,0
44,11,0.0321,0
44,12,0.0321,0
44,14,0.0321,0
44,15,0.0321,0
44,16,0.0320,0
44,17,0.0321,0
44,18,0.0320,0
44,19,0.0321,0
45,0,0.0321,0
45,1,0.0321,0
45,2,0.0320,0
45,3,0.0320,0
45,4,0.0321,0
45,5,0.0321,0
45,6,0.0320,0
